Q10516|Q9UJM4	PTKA|ELK1
Q7D5J3|Q99723	GLMM|MTR
Q7D4P3|P46776	ESPI|RPL27A
Q7D4P3|Q3KNQ9	ESPI|GTF2A1
Q7D4P3|Q9HD25	ESPI|CARS1
P9WI81|Q9BZK6	PKNB|RHOBTB2
Q7D4P3|Q9H2B9	ESPI|GTF2E2
P9WNK5|A0A3B3ISY8	ESXB|CIB1
Q7D5J3|Q9H8E4	GLMM|THSD4
Q7D4P3|Q9UMD2	ESPI|SHMT1
Q10516|Q6IBN3	PTKA|EIF4EBP1
Q7D4P3|Q7M4R4	ESPI|YWHAE
Q10516|Q5IFM8	PTKA|GATA4
Q10516|Q6IB08	PTKA|RPS23
Q7D4P3|Q58F96	ESPI|DDB1
Q10516|Q9UCF3	PTKA|FGG
Q10516|Q99418	PTKA|CYTH2
Q10606|Q9UBZ9	WECA|REV1
Q7D4P3|Q8IYN8	ESPI|MAPK6
Q10516|Q5U0M8	PTKA|RAC3
Q7D4P3|Q9UM99	ESPI|KIT
Q7D4P3|Q14638	ESPI|ITGA9
Q7D4P3|Q96QM6	ESPI|FGL1
Q10516|Q9UPK1	PTKA|NFIC
Q7D4P3|Q9BS04	ESPI|DTX1
Q10516|Q9P060	PTKA|AHSA1
Q7D4P3|P36507	ESPI|MAP2K2
Q10516|Q9BV24	PTKA|RPS15A
Q7D4P3|Q498Y0	ESPI|RPS13
Q10516|Q5JTE3	PTKA|POLR1C
Q7D4P3|Q8WV28	ESPI|BLNK
Q10516|Q9Y2Z3	PTKA|FAF1
Q10516|Q9NS91	PTKA|RAD18
Q7D4P3|Q9UQM6	ESPI|GDI2
P9WPH9|Q92524	ECCA1|PSMC6
Q7D4P3|Q9UND6	ESPI|HDAC4
Q10516|Q9H901	PTKA|CENPT
Q7D4P3|Q9UIU2	ESPI|DCTN1
Q7D5J3|Q8NI05	GLMM|RAB28
Q10516|Q9UHP8	PTKA|KLF5
Q7D5J3|Q96DI4	GLMM|EXOC3
Q7D4P3|Q9UPF2	ESPI|PKM
Q10604|H9KV45	MURA|UBE2D3
P9WI81|Q9Y6E0	PKNB|STK24
Q10516|Q9P2Y8	PTKA|MITF
Q7D4P3|Q9UJZ0	ESPI|ALB
Q7D4P3|Q9Y4H7	ESPI|HLA-DRB1
Q10516|Q53XV2	PTKA|PPP5C
Q7D4P3|Q53HK3	ESPI|EIF2S3
Q10516|Q9UJY0	PTKA|GNL3
Q7D4P3|Q96PR7	ESPI|H2AB1
Q7D4P3|O14757	ESPI|CHEK1
Q10516|Q9UMF9	PTKA|EIF3B
Q7D4P3|Q6NX41	ESPI|POLR2A
Q10516|Q8IYZ5	PTKA|WT1
Q7D4P3|Q96AH8	ESPI|RAB7B
Q7D4P3|Q9UG30	ESPI|SERPINA5
Q7D4P3|Q9BZL7	ESPI|CCN1
Q7D4P3|Q3KQR8	ESPI|HMGN1
P9WI81|O14757	PKNB|CHEK1
Q7D4P3|Q9UMA7	ESPI|CREB1
I6WXK4|Q9UJ41	PTPB|RABGEF1
Q7D4P3|Q8WV41	ESPI|SNX33
Q10516|Q9UH94	PTKA|PREB
Q7D4P3|Q9BWA3	ESPI|GOT2
Q10516|Q9Y5K5	PTKA|UCHL5
Q10516|Q9UQ61	PTKA|TP53
Q7D5J3|Q6IB15	GLMM|YKT6
Q10516|Q92560	PTKA|BAP1
Q7D4P3|Q96HB7	ESPI|SDC1
Q10516|Q9UKZ3	PTKA|SMAD6
Q7D5J3|Q93079	GLMM|H2BC9
Q7D5J3|Q9P2N4	GLMM|ADAMTS9
Q10516|Q9UCQ3	PTKA|XRCC6
Q10516|Q9UN03	PTKA|ITGA6
P9WI81|Q99746	PKNB|PLK1
Q10516|Q9BWA3	PTKA|GOT2
Q10516|Q92820	PTKA|GGH
P9WN49|O14562	GLMS|UBFD1
Q7D4P3|Q9BUS6	ESPI|CDKN1B
Q10516|Q8TBD1	PTKA|PSMA4
Q10516|Q8IXL4	PTKA|CRCP
Q10516|Q9H2B9	PTKA|GTF2E2
P9WI81|Q9Y3T2	PKNB|RAB1A
Q7D4P3|Q9BSH7	ESPI|VTN
P9WPH9|A5LHX3	ECCA1|PSMB11
Q7D4P3|Q96PR8	ESPI|SDC3
Q7D4P3|Q9Y2Z9	ESPI|COQ6
P9WI81|Q9UQE9	PKNB|CAMK2D
Q7D5J3|Q9P082	GLMM|BRK1
Q7D5J3|Q9NP28	GLMM|HTR2C
Q7D4P5|Q9UHD1	ECCCB1|CHORDC1
Q10516|Q8NG46	PTKA|TERT
P9WI81|Q53EQ8	PKNB|GRK4
Q7D4P3|P41182	ESPI|BCL6
P9WI81|Q59H33	PKNB|RIPK1
Q7D4P3|Q6WWJ7	ESPI|IL18
Q10516|Q8WW97	PTKA|RPL6
Q10516|P22083	PTKA|FUT4
Q10516|Q6IRL7	PTKA|RPS8
P9WI81|Q6Q317	PKNB|VAV2
Q10516|Q9UMV4	PTKA|GNAO1
Q7D4P3|Q8NIA4	ESPI|CAMK2G
Q7D5J3|Q9NUI0	GLMM|RAB11FIP3
Q7D4P3|Q53X65	ESPI|GAPDH
P9WI81|Q8WUB0	PKNB|RAD23B
Q10516|Q86Y61	PTKA|RDX
Q7D4P3|Q8IZ71	ESPI|GNAI2
Q7D5J3|Q9Y4X2	GLMM|TREX1
P9WI81|Q96AF7	PKNB|RPS6KA5
Q10516|Q9BXB3	PTKA|POLR3D
Q7D4P3|Q96DA1	ESPI|EDN1
Q7D5J3|Q8N1A4	GLMM|PLCB3
Q7D4P3|Q9Y669	ESPI|KMT2B
Q10516|Q9BTK9	PTKA|MMP7
Q7D4P3|Q8IVA6	ESPI|ITGAX
Q10516|Q8N5C8	PTKA|TAB3
Q10516|Q53XK2	PTKA|GNA15
Q7D5J3|Q8TE59	GLMM|ADAMTS19
P9WI81|Q9Y5Q1	PKNB|LIMK1
P9WI81|Q9NQU5	PKNB|PAK6
P9WI81|P49674	PKNB|CSNK1E
Q10516|P31323	PTKA|PRKAR2B
P9WI81|Q02750	PKNB|MAP2K1
Q7D5J3|Q6IB00	GLMM|GNA11
Q10516|Q92466	PTKA|DDB2
Q10516|Q96HJ0	PTKA|CRK
Q7D4P3|Q8N3Z2	ESPI|EPHA2
Q10516|Q6IB57	PTKA|CTSD
Q10516|Q6I9S4	PTKA|ZYX
Q10516|Q9UJV6	PTKA|MLST8
Q7D4P3|Q6IAY3	ESPI|POLR2F
P9WI81|Q8N3M1	PKNB|ARHGEF7
Q7D4P3|Q9NS91	ESPI|RAD18
P9WPH9|H9KV45	ECCA1|UBE2D3
Q7D4P3|Q9UNA4	ESPI|POLI
Q10516|Q8J013	PTKA|RPL10A
