Q8X8Y6|Q9HCP1	GLND|CSNK1G1
P0A6Z0|Q53ES8	DNAK|RPS6KA4
Q8XE75|O00762	ISPA|UBE2C
Q8X6Y0|Q4VAK2	THIE|ITGAM
P62625|Q9UP80	ISPH|ADAMTS1
P62625|Q7RU02	ISPH|IL1A
P62625|P36507	ISPH|MAP2K2
P62625|Q9Y589	ISPH|IRAK4
Q46903|Q9HD16	QUED|TRAPPC2
P0A6Z0|Q6IB00	DNAK|GNA11
P62618|Q9UII8	ISPF|CDH1
P24236|Q13576	NUDB|IQGAP2
A0A0H3JH39|Q9UPK1	GYRA|NFIC
Q8XE76|Q8N5D7	DXS|FYN
P62618|Q53QM4	ISPF|GPC1
Q8XE87|Q8NI07	THIL|RAB11B
P0A6Z0|Q8NHL5	DNAK|LILRB4
P62625|Q9UIJ0	ISPH|NOTCH4
P62618|Q9UNA0	ISPF|ADAMTS5
P0A6Z0|Q9BRV4	DNAK|VAMP3
P41405|Q9UGF1	OMPR|CHEK2
P0A6Z0|Q86XF8	DNAK|PSME4
Q46903|Q9UEV0	QUED|HDAC3
Q8XE76|Q5PSV3	DXS|VDR
Q8XE76|Q9BTK9	DXS|MMP7
Q8X6Y0|Q16472	THIE|BCKDHA
P24236|Q9UDC6	NUDB|NOS3
P0A9P5|Q86SS8	TRXB|DUSP8
Q46903|O15212	QUED|PFDN6
Q8X6Y0|Q9BTD9	THIE|RAPSN
Q8X6Y0|Q8IVD1	THIE|SELP
A0A0H3JH27|Q5EE02	CCMH|SLC6A4
Q8XE41|Q4W5C3	OMPC|KLKB1
Q8X8Y6|Q9NRH9	GLND|PRKACA
P0A6Z0|Q8TDK9	DNAK|FOXO4
P62618|Q9BWK7	ISPF|KAT5
Q8X8Y6|Q24JU2	GLND|PIK3CB
Q8XE76|Q9UJB1	DXS|CD34
Q46903|Q7Z301	QUED|ABL2
Q8X9L0|Q96J48	FTSH|PSMB8
Q8X9L0|P62195	FTSH|PSMC5
Q8X6Y0|Q9UMD2	THIE|SHMT1
Q8X6Y0|P51687	THIE|SUOX
Q8XE87|Q9UNT4	THIL|TRIP6
P0AFJ6|Q5T3P9	PHOB|LGALS8
Q8X8Y6|Q9UD26	GLND|JAK1
Q8XBS3|Q2M1Z4	QSEB|POLR2G
Q8X8Y1|Q9BU31	DXR|DCAF15
Q8X517|Q9BWR0	FIMG|ICAM4
Q8X9G2|Q5T3P9	KDPE|LGALS8
P0A6Z0|Q9UPI9	DNAK|TCF3
P0AFB6|P11233	GLNL|RALA
Q46903|Q9UCX5	QUED|SHC3
Q8X6Y0|Q9H023	THIE|ARHGEF2
Q46903|Q9NQT8	QUED|KIF13B
Q8XA14|P35638	RSMA|DDIT3
Q8X8Y1|Q9UKZ3	DXR|SMAD6
Q8XE76|Q8NI07	DXS|RAB11B
Q8X8Y6|Q00535	GLND|CDK5
Q8XBD5|Q9NQD9	UVRC|GTF2H1
Q8X8I2|Q96BV4	FADB|CYCS
Q46903|Q9BZP9	QUED|FASLG
P62618|Q2V575	ISPF|PLCG1
Q46903|Q5T0U8	QUED|EPHB2
Q8X7Y4|A0A1W2PQS6	ISPD|RPS10-NUDT3
P0A6Z0|Q9Y4K4	DNAK|MAP4K5
Q8XE76|Q17RZ6	DXS|GRIN2A
Q8X6Y0|Q9NW28	THIE|PIWIL2
Q8X8Y1|Q9BU83	DXR|S100A2
P0A6Z0|P52435	DNAK|POLR2J
A0A0H3JH37|Q9BUT4	GLTB|CDKN1A
Q8XE76|Q9UM06	DXS|SEC31A
P0A6Z0|Q53Y89	DNAK|ETS2
Q8XE76|Q9Y572	DXS|RIPK3
Q8XE87|Q6NWN6	THIL|MMP13
Q8XE87|Q9BX29	THIL|F13A1
Q8X8Y6|R4I4T5	GLND|CD24
Q46903|Q52M77	QUED|GART
P0AFJ6|E9PI54	PHOB|RAD51
Q8XE87|Q8NEN8	THIL|BMPR1A
Q8XE58|Q9UKC4	CCMA|FBXO8
Q46903|Q9H6W0	QUED|ARHGEF28
Q8XE76|Q9UMA3	DXS|KMT2A
Q8XA14|Q7Z2Y5	RSMA|NRK
Q8XE75|Q9Y6M4	ISPA|CSNK1G3
P0A6Z0|Q9H811	DNAK|SPAG9
Q46903|Q9NX09	QUED|DDIT4
Q8X8Y1|Q96CF5	DXR|FCHO2
Q8XE76|Q9BQL0	DXS|BCKDHB
Q8XE87|Q96PX3	THIL|MYSM1
Q8X9L0|Q6IB60	FTSH|PSMA6
P62625|Q9H3I2	ISPH|TTC4
P62618|Q96EA8	ISPF|EIF4A2
Q8X996|Q9BUQ8	SECA|DDX23
Q8XDU4|Q99883	BASR|RPL37
Q8XE76|Q9Y6V7	DXS|DDX49
Q46903|Q52LT4	QUED|POLR2D
Q8X7Y4|Q53EQ8	ISPD|GRK4
Q8X6Y0|Q9UHJ2	THIE|FTCD
Q8XE76|Q13652	DXS|GRK6
A0A0H3JH37|Q9Y5V2	GLTB|GIT2
P62618|Q75MM2	ISPF|CHN2
P0A6Z0|Q9UN57	DNAK|OPRM1
P24236|Q6IQ15	NUDB|EEF1A1
P0A6Z0|Q9H6V1	DNAK|SDC2
P0A6Z0|Q9UQI9	DNAK|CDC20
Q8XE87|Q9UKV8	THIL|AGO2
P62625|Q53HH9	ISPH|MMP10
P77032|Q9Y2Z0	BARA|SUGT1
Q8X8Y1|Q45F99	DXR|MMP8
P24236|Q9BS41	NUDB|GTF2H2
Q8X9L0|O14562	FTSH|UBFD1
Q8XA14|P06899	RSMA|H2BC11
A0A0H3JH37|Q9UHW5	GLTB|GPN3
Q46903|Q6NW05	QUED|POLR2I
P0A6Z0|Q8IZF9	DNAK|POSTN
P0A6Z0|Q9BZX1	DNAK|TYR
P62618|Q9UH41	ISPF|FBLN1
Q8XE76|Q8IXZ5	DXS|CHD4
P24236|Q9NRR6	NUDB|INPP5E
Q8XBL2|Q9UHJ2	FOLB|FTCD
Q46903|Q53X75	QUED|PIN1
Q8X6Y0|Q9UK80	THIE|USP21
Q8XE76|Q9H2V4	DXS|EPHA3
Q8XB76|Q8NDC7	YEDW|ARNT
Q8X8Y6|Q53TN1	GLND|DPP4
Q8X8Y1|Q96RQ9	DXR|IL4I1
Q8X9C2|Q5T3P9	GRPE|LGALS8
Q8XBL2|Q6IRY4	FOLB|RPS26
Q8XE76|Q9BS41	DXS|GTF2H2
P62625|Q9NRF7	ISPH|NBR1
Q46903|Q9UIH1	QUED|TNFRSF1B
Q8X8Y6|Q9Y589	GLND|IRAK4
Q8X6Y0|P04196	THIE|HRG
Q8X8Y1|Q9UM99	DXR|KIT
Q8X8Y1|Q5SRH4	DXR|EPS15
P0A6Z0|Q9H4M5	DNAK|PPP3CC
P0A9Q3|Q969R0	ARCA|POLR2H
Q8XE87|Q53HH9	THIL|MMP10
Q8XE76|P02708	DXS|CHRNA1
P24236|A0A1W2PQS6	NUDB|RPS10-NUDT3
Q8XE87|Q96G29	THIL|FDPS
P41405|Q99556	OMPR|DHX9
P0A6Z0|Q14332	DNAK|FZD2
A0A0H3JH37|O43150	GLTB|ASAP2
P11457|O14562	SKP|UBFD1
Q8X8Y6|Q9UKH1	GLND|PRMT5
Q8XE76|Q6FHV5	DXS|RAB8A
Q8XE76|Q9Y6X0	DXS|SETBP1
Q8X7Y4|Q6PIE6	ISPD|MAP2K4
Q46903|Q6FGZ2	QUED|ARF6
A0A0H3JH27|H9KV45	CCMH|UBE2D3
Q8XE76|Q9UIU9	DXS|CPE
Q8XE76|Q6N0A4	DXS|NR3C1
Q8XE76|Q9UKX2	DXS|MYH2
Q8X9L0|Q9UEX3	FTSH|PSMC4
Q8X9L0|Q9UHW5	FTSH|GPN3
Q8XE75|Q9P276	ISPA|POLR3E
P0A6Z0|Q96NT4	DNAK|PPM1K
Q8XE76|Q96EA8	DXS|EIF4A2
A0A0H3JH37|Q9HB61	GLTB|ROR2
Q8XA65|Q86TL9	DNAJ|DNAJA1
A0A0H3JH39|P05386	GYRA|RPLP1
Q8XC03|P25685	CBPA|DNAJB1
P0A6Z0|Q8N592	DNAK|USO1
P62618|Q96E22	ISPF|NUS1
Q46903|Q9Y2Z0	QUED|SUGT1
Q8X7Y4|Q6Y288	ISPD|B3GLCT
Q8X8Y6|Q96H62	GLND|KLC1
Q8X9C2|H9KV45	GRPE|UBE2D3
P58357|Q9GZS1	TORR|POLR1E
Q8X8Y6|Q9UDA8	GLND|PTPN13
Q8XE76|Q9UCZ8	DXS|PROS1
Q46903|Q96TF9	QUED|MBL2
Q8X7Y4|Q2XNF2	ISPD|MAPK11
P62625|Q96BD9	ISPH|SUZ12
P0A6Z0|P36873	DNAK|PPP1CC
P0A6Z0|Q8N6J0	DNAK|EPS8
Q8X8Y1|Q8TBI9	DXR|PPP2R5A
A0A0H3JH27|Q9NRF7	CCMH|NBR1
A0A0H3JH37|Q96K94	GLTB|HAVCR2
Q8X6Y0|Q96J22	THIE|USP5
Q8X6Z5|Q9BRA6	GLPE|CDC25B
P0A6Z0|Q5TGM6	DNAK|FKBP5
P0A6Z0|P78339	DNAK|F12
Q8X8Y1|Q9NXK2	DXR|ASAP3
P41405|P52435	OMPR|POLR2J
P24236|A6NFM0	NUDB|POLR2J2
Q8X8Y1|P36507	DXR|MAP2K2
P97542|O14562	HSLV|UBFD1
P62625|Q92596	ISPH|FCN1
P0AES7|Q92515	GYRB|POLG
A0A0H3JH37|Q96J22	GLTB|USP5
Q46903|Q9UDF3	QUED|CCL2
Q8XB09|Q9UHL1	CREB|MED6
P24236|Q5T4L6	NUDB|RPS27
P77032|Q96IN5	BARA|BCKDK
P37055|Q15596	RSSB|NCOA2
P24236|Q9UC20	NUDB|RAF1
P0A6Z0|Q93068	DNAK|SUMO1
Q8X8Y6|Q9Y331	GLND|EHMT2
P62618|Q9NP28	ISPF|HTR2C
Q8X8Y6|Q6IB15	GLND|YKT6
Q8XBL2|P62910	FOLB|RPL32
Q8XE76|Q8WTQ7	DXS|GRK7
Q8XE76|Q04912	DXS|MST1R
Q8XE87|Q706C1	THIL|TGFBR1
P78242|Q8TCW5	RPOB|POLR3A
P62618|P24941	ISPF|CDK2
Q8X5S5|Q9UP46	NRFF|BIRC3
P97542|Q96E97	HSLV|PSMD7
Q8XE87|Q9Y697	THIL|NFS1
P58357|Q2M1Z4	TORR|POLR2G
Q8X8Y1|Q9UC41	DXR|CRYAB
Q46903|Q86VI3	QUED|IQGAP3
P0A6Z0|Q5SQ07	DNAK|C8G
P0A6Z0|Q86TF2	DNAK|CLTC
Q8X7Y4|Q6ISB5	ISPD|CDK8
P0A6Z0|Q9UND6	DNAK|HDAC4
P0A6Z0|Q9UK94	DNAK|POLG2
Q8XE87|Q9H1P2	THIL|ADRM1
A0A0H3JH37|Q15576	GLTB|ITGAD
P78242|Q9H9Y6	RPOB|POLR1B
P63285|Q9UCD5	CLPB|VCP
Q8X8Y1|Q96CX7	DXR|ACADSB
Q8XE76|Q96J51	DXS|SMN2
Q46903|Q9NZ06	QUED|PRMT1
Q46903|Q9UPC0	QUED|IL1RN
Q8XE76|Q9Y659	DXS|DDX20
P41405|Q9NQT8	OMPR|KIF13B
P62618|Q9BS41	ISPF|GTF2H2
Q8XE76|Q9HCP1	DXS|CSNK1G1
Q8XE76|Q6NZI3	DXS|BCR
P32168|Q5JNW4	HSLU|PSMB9
Q8X9G2|Q5M8S9	KDPE|RPS20
Q8XE76|P08156	DXS|MMP1
A0A0H3JH37|Q5VX94	GLTB|ITGA8
P62618|Q93076	ISPF|GPT
P0AFB6|Q8NI05	GLNL|RAB28
P63285|Q96J48	CLPB|PSMB8
Q8XE76|Q12954	DXS|FLT1
P0A6Z0|Q8NFG5	DNAK|CENPS
P24236|Q9H4W8	NUDB|CTH
Q8X8Y1|Q6FGZ6	DXR|CSK
Q8X8Y6|Q86W08	GLND|FLT4
Q46903|Q9UKH1	QUED|PRMT5
Q8X6Y0|Q5T3P9	THIE|LGALS8
Q8XE87|Q9UNM5	THIL|DYRK1A
A0A0H3JH37|Q9UQL6	GLTB|HDAC5
P0A6Z0|Q9UM14	DNAK|C1S
Q8XE87|Q9P056	THIL|COQ9
Q8XA14|Q9UEB9	RSMA|TOPBP1
Q8X6Y0|Q9NR36	THIE|HGS
P24236|Q9NXT4	NUDB|CNNM2
A0A0H3JH37|Q9UCJ8	GLTB|MMP2
Q8X8Y6|P78339	GLND|F12
P0A6Z0|Q9UKK8	DNAK|DLG4
Q8XE87|P62834	THIL|RAP1A
P24236|Q86XD7	NUDB|NID1
Q8X6Y0|Q8IWZ1	THIE|AKR1B10
Q8XCF5|Q9Y4E4	CHEA|ARAP2
P0A6Z0|Q9UPB1	DNAK|HIF1A
P24236|Q5SXM3	NUDB|NOTCH1
Q8X6Y0|Q8IV83	THIE|MDM4
A0A0H3JH37|Q9NZC7	GLTB|WWOX
P77380|P29965	CUSR|CD40LG
P24236|Q9UQN5	NUDB|ROCK2
P63285|Q9BWA7	CLPB|PSMB7
Q8XE76|Q6NXQ1	DXS|PDHA2
Q8X6Y0|Q15576	THIE|ITGAD
P62625|Q9H1A8	ISPH|POLR2J2
P62625|Q9Y4Y0	ISPH|DROSHA
P0A6Z0|Q12959	DNAK|DLG1
P32168|P12004	HSLU|PCNA
Q8XE87|Q8WW75	THIL|CRP
P24236|P19387	NUDB|POLR2C
Q46903|Q00534	QUED|CDK6
Q8X8Y1|Q9UCZ8	DXR|PROS1
P32168|Q5T0F5	HSLU|ORC1
Q8X9L0|Q92524	FTSH|PSMC6
Q8XE87|Q9BXZ8	THIL|ADAMTS3
Q46903|Q9UN57	QUED|OPRM1
P0A6Z0|Q9UKL8	DNAK|NGF
Q8X8Y1|Q7RU02	DXR|IL1A
P24236|Q9Y2X1	NUDB|DYNC1I1
Q46903|Q99606	QUED|AIP
P62618|Q96TF9	ISPF|MBL2
P0A6Z0|Q6NX41	DNAK|POLR2A
Q46903|Q9Y659	QUED|DDX20
P0A6Z0|Q9UIU9	DNAK|CPE
P0A6Z0|Q49AP1	DNAK|MAPK10
Q46903|Q6UW79	QUED|TSPAN15
Q8X6Y0|Q9BWA8	THIE|PSMB1
A0A0H3JH27|Q5HYA4	CCMH|PXN
P0AES7|Q53YA2	GYRB|CDC37
Q8X6Y0|Q0VG08	THIE|SEC24B
P62618|Q5TC39	ISPF|PPP2R5D
Q8X6Y0|Q9Y6U3	THIE|SCIN
Q8XE87|Q86VB3	THIL|UBE2I
P62618|Q9NPL3	ISPF|UBR5
Q8XE76|Q9Y6K9	DXS|IKBKG
P62625|Q9UII1	ISPH|ZNF274
Q8XE75|Q96H96	ISPA|COQ2
P0AFB6|Q96A97	GLNL|HSP90B1
P62618|Q6FG45	ISPF|PPP1CB
Q8XE76|Q00534	DXS|CDK6
P62618|Q9UJ43	ISPF|SELL
Q8XE87|Q9BWK7	THIL|KAT5
Q8XE76|Q9UJ39	DXS|GLI3
P0A6Z0|Q96D87	DNAK|CTSB
P58357|Q96AT7	TORR|GTF2H3
P0A6Z0|Q27I61	DNAK|C5
Q8XE76|Q4G0A9	DXS|RPL27
Q46903|Q6IB15	QUED|YKT6
Q46903|Q58F96	QUED|DDB1
P0A6Z0|Q9H682	DNAK|TNIP2
P0A6Z0|Q96P20	DNAK|NLRP3
Q8X7Y4|Q5TC33	ISPD|REV3L
Q8X6Y0|Q96J51	THIE|SMN2
Q8X8Y6|Q9Y352	GLND|CAMK2A
P0AFB6|Q5U0M8	GLNL|RAC3
Q8XE76|Q9UNA0	DXS|ADAMTS5
Q8X8Y6|Q9Y386	GLND|APH1A
P0A6Z0|Q9Y3N1	DNAK|PPARA
Q46903|Q8N6J0	QUED|EPS8
P0A6Z0|Q9UNC9	DNAK|APAF1
Q8XB76|Q99649	YEDW|ARNTL
P0A6Z0|Q96J22	DNAK|USP5
P78242|Q9Y5N9	RPOB|DCN
Q8XE87|P62195	THIL|PSMC5
A0A0H3JH37|Q9UDU9	GLTB|GNA12
A0A0H3JH37|P27824	GLTB|CANX
Q46903|Q9UKB6	QUED|ITGB3BP
P0A6Z0|Q13233	DNAK|MAP3K1
