P0AAX8	P37025
P08337	P25534
P69423	P0AD49
P0AEI4	P0ADJ3
P39452	P31436
P75870	P0ADR0
P58033	P17315
P07623	P25889
P39902	P0ADS2
P25741	P0AD57
P25397	P38521
P31467	P0ADM8
P10805	P0AEN8
P0AF56	P0A9F1
P0ABT5	P0AGC5
P0ABA6	P0C0V0
P0A7G6	P0AC38
P09184	P09372
P33012	P75908
P32108	P0AC73
P0AGC0	P23522
P08722	P76034
P33647	P40876
P55798	P32156
P0A6A0	P52097
P33667	P0ADL6
P23908	P67660
P46119	P0AB40
Q47537	P33342
P76053	P0AEH8
P69783	P0AD40
P0ACZ4	P0A9K3
P66948	P21503
P21499	P36659
P08204	P0AGI1
P54901	P28303
P0AFR0	P0ABD3
Q47377	P0ADE2
P0A6U5	P0ADD2
P00448	P77445
P33352	P78285
P0ACJ5	P06609
P0A7L3	P45955
P0ABZ6	P06709
P37353	P0AG93
P24252	P25741
P30855	P0ABY7
P0AB85	P00452
Q47679	P0AFI2
Q06067	P45551
P14175	P0AE39
P64540	P68688
P76538	P75991
P76585	P0ACZ4
P11289	P43319
P0AFC7	P75672
P0CB39	P39365
P24555	P37348
P0AES9	P77136
P25960	P38105
P0A8A2	P60782
Q46832	P0AF90
P37663	P45800
P77432	P24218
P0ADD7	P55799
P28722	P17410
P0DMC7	P0AEG4
P76192	P77374
P64610	P0AAX6
P03023	P30855
P0A9C5	P0A840
P64512	P76008
P0DMC7	P65870
P77376	P31658
P0C077	P38036
P0AE22	P39264
P07762	P12994
P0A9Q1	P0AB28
P77395	P0AD53
P05804	Q47274
P0AC00	P32154
P0A8P6	P75957
P77510	P30844
P67697	P37014
P0A8L1	P60757
P02918	P0ADV7
P0AG20	P07813
P0ACC1	P76329
P76445	P76011
P23837	P31554
P71242	P76042
P21517	P0AAE8
P0AFF6	P21888
P76223	P28917
P27111	P58033
P77433	P0AAL0
P24240	P32136
P0A7D4	P24224
P0C054	P0ACA3
P37440	P0ABM9
P42915	P0AD70
P77804	P64476
P0A6E4	P07118
P0CB39	P27238
P22255	P62395
P33650	P09832
P75884	P76339
P77671	P76141
P77627	P77245
P0ABW5	P06966
P0AG67	P76091
P0AG27	P33026
P0AEK2	P0ADA1
P0A887	P31828
P39298	P0A8S5
O32583	P76111
P00363	P28246
P0AG11	P0AD19
P0AG16	P0A962
P75916	P33599
P0A6T1	P18811
P45537	P64453
P0AE28	P71243
P28630	P0A6W9
P0AC02	P0ACR9
P45523	P0ACB0
P0A7E5	P0A855
P00926	P37610
P0AF78	P11290
P0ABK2	P02358
P0AEE8	P77399
P00909	P76440
P77739	P52644
P0AES9	P76577
P52037	P24077
P17334	P77402
P64572	P77288
P36673	P39187
P45760	P0ADJ3
P76440	P16703
P33362	P37194
P54746	P32155
P77768	P02932
P0A729	P77182
P0A6C1	P38489
P02921	P37624
P52073	P0A9T4
P06959	P0A6D3
P0A7I7	P0A8F8
P23842	P38489
P0AGJ2	P08200
P04335	P0A935
P30870	P77730
P23894	P09391
P0ABB4	P0AF12
P77726	P0AEI6
P21507	P36554
P0AB52	P0A9C0
P21365	P09184
P46846	P0A7A2
Q2EEQ2	Q6BF87
P0ABH0	P0AGK4
P37613	P64550
P31808	P06611
P62601	P52645
P0AE85	P25736
P24186	P0A7S3
P45748	P23930
P0AF24	P21865
P0AEW6	P36560
P31471	P06282
P0ACC9	P0A8T7
P0A7B8	P0ABC3
P39452	P0ABF6
P28305	P24188
P0AA39	P0A8U6
P33644	P37641
P75672	P0A7S3
P75672	P0AG93
P24218	P75617
P29131	P0AAQ0
P24255	P28630
P75882	P39310
P77434	P77234
P17411	P77716
P67603	P0AAD4
P09832	P77650
Q46919	P28303
P30137	Q47319
P0A8H6	P0AGM5
P61316	P0AB03
P0AFY8	P26648
P64588	P37610
P0ACE7	P68679
P75733	P46883
P05793	P77319
P30745	P0A9I8
P77212	P69924
P0A917	P0AE06
P25772	P0AE78
P0AC00	P23840
P0ADH5	P39367
P0A7X6	P0AG07
P39314	P64515
P60651	P31660
P61889	P00946
P37652	P64638
P41443	P52124
P42593	P60785
P76093	P05459
P68191	P0AFI2
P0AB89	P36673
P25534	P75736
P68183	P15067
P60422	P31551
P32138	P06846
P0A6V8	P0AFF2
P67762	P0A881
P0A6R3	P0AAI5
P0A9K9	P37746
P0A903	P0AAA7
P0ADB4	P33358
P0AAN3	P32132
P04335	P76594
P37650	P32716
P77211	P0A8K8
P31437	P52006
P0AAV8	P76339
P45756	P00959
P22564	P39376
P0ACX5	P39267
P0A6D5	P39279
P0AEV4	P45800
P0A8L5	P04425
P64429	P23481
P0AA47	P0AE14
P67697	P33025
P37309	P23325
P76339	P45468
P0AGH8	P0A6A0
Q46806	P11447
P45807	P39163
P77747	P0ACS5
P77561	P37329
P0ADX7	P45537
D3INY1	Q47066
P07000	P0ABQ4
P0ABU5	P37629
P0AES0	P31574
P0A6I6	P0A6I6
P0A8A4	P64602
P69503	P69503
P45761	Q8VPC3
P38038	P75863
P0A8S1	P0A8S1
P0A8Z0	P0AEP9
P75679	P76097
Q46907	Q46908
P14294	P21893
P05052	P15770
P08178	P37909
P28903	P28903
P06710	P20605
P09372	P09372
P62552	P62552
P0A8D3	P37629
P03004	P66817
P64503	P64503
P75728	P76938
P0A9S5	P0A9S5
P0A7D7	P0A7D7
P0AFW4	P24554
P0A805	P77161
P0AAN5	P75679
P37651	P37651
P41409	P41409
Q47098	Q47098
P05827	P31666
P0A7K2	P60422
P0ACB2	P0ACB2
P23893	Q46864
P0A6X3	P0ABF1
P0A7K2	P0A7T7
P0A9I5	P33937
P0AEE3	P0AEE3
P0A6T9	P33195
P0A7Q1	P63228
P17888	P17888
P07862	P33014
P0ABA6	Q46953
P63284	P63284
P56258	P64530
P23721	P23721
P0AEZ3	P18196
P0A9K9	P16431
P65294	P69829
P0AF36	P0AF36
P04816	P04816
Q47341	Q47341
P0A7A5	P0AF76
P77243	P77243
P0AFW0	P0AFW0
P0AGK8	P0AGK8
P25535	P25535
Q47083	Q47083
P39363	P75679
P0AET2	P0AET2
P0ACZ8	P0ACZ8
P07862	P0ABW5
P21179	P21179
P30750	P77161
Q47644	Q47644
P03960	P36937
P0AEB5	P68646
P09377	P0A7C2
P31063	P39405
Q46864	Q46864
P06864	P31450
P0ABE2	P77295
P31133	P31133
P0AA04	P77432
P06612	P75767
P0ACJ8	P0AFG0
P25534	P77580
P0AA25	P69741
P0ACL5	Q46942
P00579	P60240
P68688	P75679
P33602	P33602
P0A7T7	P0A7W7
P30750	Q47690
P0AEK2	P0AEK2
P23882	P23882
P0AAN1	P69741
P31554	P31554
P23862	P75957
