Q2EMV9	Q8K4S1
P28653	A0A140T8L1
Q02858	A2A5Z6
Q923E4	B2RXR6
A0A0G2JDV3	A2AWR3
Q9D1P2	Q8CIB9
E9PVG8	O70309
Q8VEM8	Q9CXV1
Q8R189	Q99JW2
Q91V57	Q4V9Z5
P97466	O88513
A2AWR5	Q9CZ69
Q8VE80	Q91WG4
Q7TQZ2	Q8VF14
P62325	Q8R316
Q80Y24	Q99K10
Q8K298	Q569L8
P14434	Q8BVN0
E9Q956	P68368
P00416	P00687
Q8BMT4	Q8BGD9
Q8BIV3	F8VQG7
Q91Z61	O35174
S4R1M3	Q9QYL0
Q9QUQ5	P62761
Q02357	O89094
Q80T41	Q9WV86
Q8BX22	P07901
Q91ZT7	Q6ZWQ0
P70335	O55028
P70452	P05480
P16879	Q794H2
Q9DBA9	Q91VB4
Q9JLM8	Q6P9J5
O89032	Q6P1E8
P01587	P97304
Q8K4X7	Q9D0Q7
A6H5Z3	O88983
P61202	P56212
D3Z451	Q99KP3
Q9JM52	P35546
Q9Z2Z9	Q9D081
Q7TSH4	Q9DBN9
Q60641	Q922B9
O08586	A2ABG4
Q60688	Q9WVA2
Q8K4Z5	A2ARM1
P40749	O35474
P04627	O35280
A2AVC4	Q8VGM8
P28658	Q566J8
Q8R3F5	Q9DBG7
P35545	Q80ZP0
Q03734	Q5U405
P46096	Q8K0S5
P00184	Q91Y47
Q07646	P54310
Q91WK5	P16332
Q8BSH2	Q9EPW9
F6S4B9	Q01705
Q9QZ05	Q91Y86
Q61037	Q9QXX0
Q8BGN8	D4PHA7
P97291	A2A891
Q3V0H9	Q8BG51
Q8VBU5	Q8CIC2
O09112	Q64143
P62838	D3YYI8
Q8VEA4	Q8CFD4
Q91V89	P14404
P63089	Q8K0B3
Q8K2F0	O35643
P62500	Q9CTN4
Q8BWQ5	Q8BHC1
Q8CIP5	Q3UUF8
Q8VDF2	Q8K4J0
P70194	Q5XPI3
Q9JHG1	Q6PGF2
Q6ZWS8	B2RWW0
P97314	E9Q5G3
Q6P1I6	P70704
Q3U5Q7	Q9CY28
P70194	P26262
Q5HZK2	Q9JIA1
Q6PHZ2	P61087
Q8CGK7	P10833
Q3U4I7	E9Q414
Q8C0X2	Q8R0I4
Q8VDD5	Q9D3N8
Q9ERT9	P10749
Q8K4Q0	Q5DU25
Q5SRX1	Q8C7R4
Q91XU0	E9PWW9
A2A8V7	P62984
G5E870	Q91ZR5
O70201	O08709
Q99MR0	Q60676
Q7TN31	O88554
P48320	Q5HZK2
E9Q3G8	Q08639
Q9JLI2	Q9DA01
Q7TNR9	Q9JLN9
Q5DTH5	Q3UPR7
Q9R0K7	A6H584
Q8K0B3	P62322
Q9CX80	Q1RME4
Q8BGE7	Q9WU81
Q9WUT3	Q3U1V8
Q149F3	J3KMP9
Q8BVP2	P63085
P58281	P70406
Q62048	Q9JIX8
Q9QZM0	Q569Z5
Q7TRJ1	Q0ZNK3
Q8QZT4	A0A087WP46
Q9DAN1	Q9R0P3
Q9R1C7	Q6ZPV2
Q9QUI0	Q9QXN0
Q00420	Q8CHS4
Q9D4F2	Q9JKC0
Q9CXW3	Q3UKJ7
P23738	Q80UN9
Q8C0T1	Q91W67
Q569Z5	Q924W5
Q9CQ89	Q61176
Q60675	P04370
Q80SY4	O08738
E9Q6R7	Q7TQ48
Q3V300	Q9WTZ9
Q9D1B9	O08600
Q9JKC6	Q8BNC6
Q9EQY0	P54830
Q80VQ0	P97865
Q6T3U4	P50992
Q9CQ46	P97366
Q61345	Q9JM83
Q91WH2	E9PXN7
Q64511	Q9JI78
O35718	P41233
Q9D2R6	Q3ULF4
Q64514	Q9Z2N8
A2A5R2	G5E870
P70434	F8VQL7
P11531	P05064
Q9CU65	Q60668
E9Q4R4	Q64339
Q64362	Q8CBH7
Q61200	F6ZSM3
Q8BK35	Q7TT28
Q91YN5	A2AAJ9
Q8VEH3	Q3U0S6
Q9D2J7	Q9WUA6
P17156	Q80Z38
Q9D4I2	J3QK54
P34914	P00688
P05201	Q60994
Q9Z0S2	Q61687
P63080	Q8CHZ8
Q924D0	Q9D2G2
Q920M5	P21274
Q60668	Q9CR57
F6XS56	Q5SWD9
Q62160	P33175
Q14BI7	P07978
O54918	Q06831
Q9DAJ5	P01027
P42232	Q5S006
Q7M6U3	P05532
F2Z4A3	Q9WVL7
Q91X51	Q921C5
P16675	Q03249
Q99LH2	Q3ULL6
Q8BUN9	Q8K386
P37237	Q2WG76
B2RUS7	Q8R070
Q8CE64	Q9WU38
Q9Z1L4	Q60934
P70406	Q3UFD7
Q9CZU0	Q9JIL4
Q9WTM4	Q8R2P1
P17156	P55271
Q00560	Q6P9Q3
Q9R020	Q8CC27
Q9JKE1	P18340
Q60634	Q99JB8
Q99M80	Q61391
Q8R0A2	P63046
P04186	Q3U0A6
A2A4P0	A2VDH3
Q9D8K3	Q9ER00
Q9R1Z7	Q9EQ08
Q9JK53	Q9QUL3
F6Z9B9	Q80T79
Q60893	Q8C0T9
E9PUP3	P59024
Q812A2	Q05915
Q0QWG9	Q3TN34
Q3THE2	Q8BYR1
Q5DU05	E9Q7N9
Q8C1Q4	P48453
Q8VCZ8	Q91XI1
Q8R3P9	Q9QZR5
Q3UDF0	P63032
O89110	Q9JJF9
P07750	P60122
Q8C8H8	G3X8Y1
Q8VD98	Q71KU9
P01101	Q9DBR7
Q99NH0	O88904
O88643	Q9CWR0
Q9DBS4	Q91WG7
Q61712	A2A4X6
P16879	Q61169
Q8C0M9	Q8R4K8
Q9EPC1	Q64737
D3Z643	D3YXS5
Q8BGW6	Q810B6
Q920A7	Q9D2G2
Q80TL1	Q8K0T0
Q9Z130	Q7M6Z0
P27773	Q61790
E9PXX9	P06800
P51680	Q9D4H1
P35293	P97823
P28575	W8DXL4
Q06180	Q6P1F6
Q99JY4	Q8BIP0
P98191	Q8BH55
Q6PDG5	Q9DBN9
Q62463	G3UWD9
P51860	Q9ERK7
Q8BID8	Q3UHJ0
Q80ZJ7	P63028
O88507	Q9ESM3
Q5DTZ6	P23881
Q3U9N9	Q03146
Q7TR10	F6QIW7
Q8BU14	Q61139
Q80UW8	Q4VGL6
P05202	P47740
P97813	Q91V24
Q8C131	P50149
Q8BVU0	Q80TT8
Q6I6G8	Q6PFX9
Q62376	P14576
Q9QYM8	Q8K2X3
A0A1Y7VP35	P70232
Q99MI1	Q61083
Q80TC6	Q9QY36
Q99PG4	Q8QZW8
Q8CFV9	P25119
Q9QXK3	Q99P88
Q3U515	Q69ZX8
Q9WTX5	O88967
F8VPS6	Q6TXD4
P62259	Q62192
Q8C4V4	Q9D2Y9
Q9Z2G1	Q3SXC5
Q8R0F5	Q3V1V3
D3Z6H8	Q9DBI2
Q99MR8	Q3UEG6
Q99J95	Q497L1
Q80XI1	Q69Z89
Q61410	Q3UQ40
P60764	Q61771
A2CEK7	P32261
Q9D7I8	Q8R4E9
O70372	P28352
Q8CIE6	Q60780
Q8BFR4	Q64374
Q3V384	Q61035
Q8C0I1	Q9R1Q8
P63276	Q4KL25
A2A8L1	Q3UN16
E9PVD1	Q8BH60
Q924A0	Q8VIJ6
O35640	P37804
O70166	P60766
Q9R0E1	Q9JII6
Q52KR2	Q6PFC5
Q61823	Q9WUF3
P11928	Q4QQP3
Q9JIA7	Q6ZQ88
Q8K0W3	Q6P1D5
Q91XP5	Q14BI2
Q9EQJ9	Q99N94
Q920Y8	E9Q346
Q80TL0	Q99M31
Q9Z2Z9	Q8R2Z3
Q3TKT4	Q9DBS4
Q61666	A2AQ07
Q3URQ4	P19324
Q61036	Q8K099
Q9Z2E3	O35626
O35392	Q9JKK8
Q9D1G1	Q91W67
P21550	Q8C079
Q61165	Q571C7
Q8VIG1	Q91V14
J3QMJ9	Q8R296
Q80ZQ7	P09041
P28571	Q91ZK0
Q60862	Q8BL66
P25916	O88516
P10630	Q9QUN7
Q09XV5	P97304
Q7M6X5	Q9WV60
Q9Z1K7	D3YXK0
Q9R0K7	Q6NZQ6
D3Z3C6	Q78F42
Q8BL48	Q3V096
Q60848	Q3TJB1
A0A0N4SVF2	Q3UGX3
Q80VC6	P17225
Q9R233	Q64191
Q9JMC3	Q571C7
Q8CGB6	P61022
G3X9K3	Q8BUG2
P70404	P00860
Q61845	Q8K057
Q9Z0Y7	Q9JJ78
P43027	Q3V3R4
Q9ESN2	Q9JLM8
Q8R1M2	Q7TMY8
Q8C2K5	Q9QZ05
Q8VE38	P40630
O54824	O88952
E9Q777	Q6ZWQ0
P46062	P25911
E9PV48	Q9ESW4
Q7TMM9	P37913
P06240	Q9EQF4
Q9D819	P56402
P80560	Q9WU32
Q7TQD2	O54942
Q14C59	Q91V98
Q9Z1P8	Q64449
A0A087WQ44	Q91W36
Q8VGJ0	Q7TRI4
P28738	Q99JX3
P05784	O09167
A0A1L1SVG7	A3KGY4
Q05769	Q8R4G6
J3QQ23	Q9D3U4
Q8R0T2	E9PYH6
Q6P6M5	Q62148
Q8BPT6	Q2VPA6
Q8C570	P09631
B1ASB6	P63271
Q5SSW2	Q9QZW0
Q62209	A8E0Y8
P06800	Q80TL0
Q91VL9	Q8R1S9
Q80ZU0	Q91W69
Q811I0	P97760
Q99L28	Q60865
Q9QZL0	P68181
O70191	P97430
P70227	O35942
P04186	Q60795
Q9Z1N5	P63115
F6ULY1	P16294
Q61838	Q9WU20
P68254	L7N1X4
Q80U63	Q64467
Q9D404	Q9QZ82
Q9QZL0	Q9JLV5
Q3UY34	Q9JJ04
Q9JJN5	O70570
Q9WUN2	Q9Z0Y7
Q64704	Q6IMB1
Q66JW3	F8VPZ5
Q8VC56	P47811
Q922Y0	Q9ERD7
Q9R0W9	Q80ZU7
Q8R050	Q6PAK3
P01831	F6R5P4
Q9CZ04	P52431
Q8K1J6	P61216
Q60750	Q8BPT6
P61407	Q9QUK3
P27790	Q61818
Q91W89	Q9QYJ7
A2A825	Q3UR70
Q6ZWY6	P62492
Q91ZX7	Q8C9S4
A2APF3	P09092
E9PV98	Q64522
P05125	P28563
Q9JK42	P41242
Q9QZL6	O35491
Q9ERU9	Q9QY42
Q5SZ99	O70145
Q9QZQ8	Q7TMY8
Q9EQW6	Q60575
P29477	P20108
Q9Z0Y1	Q9DAK9
Q6NVE9	O54910
O35607	Q02257
Q9CY99	Q91VJ4
P49442	Q91Z67
Q9CWZ3	Q9CPS7
Q3UNA4	Q9WTK8
Q7TNC8	Q6PFG8
O35737	P62908
Q8C2W3	Q1WG82
Q8BH43	Q8CBW7
Q0GGX2	O70435
P01101	Q922U2
Q64331	Q80TY0
Q80TP3	Q61656
P70453	P31649
Q8JZM7	Q61239
Q811D0	A0A140LJ87
Q8R0F5	Q6P3Y5
P11942	Q9Z2H6
Q5F226	P59528
Q9D7C9	Q9JJ78
Q3UHK1	Q8K469
Q810B7	Q9D428
P16879	Q8BHB9
Q9D4B2	Q3U1T3
Q9R0N0	P21550
A2AR95	Q8BH27
Q9Z1N2	Q8C2B3
P58043	Q9D8B4
B8QI36	Q9QXL2
Q9WV85	B1AVZ0
Q9R0M0	P13595
Q9WTN0	Q9JLT4
P32648	Q8BMT0
Q571I9	Q9D1D4
F6YK91	Q6P068
Q8K2G4	Q91ZD4
P18242	Q6IRU5
Q8BJ63	P28571
Q64520	Q9CY73
Q8K2B0	Q68FG2
Q8BJL0	Q8K1R7
Q9ET77	Q6P9K9
Q64339	Q9Z0H8
Q9D6X6	Q8BY89
Q91Z96	Q9JKP8
A2BE23	P62918
P70257	P43136
P20263	Q8CIB9
P41233	Q00993
Q9Z2U1	Q99MD6
Q99KU1	P81066
G3X9Y6	Q9QXD1
Q61083	P21761
Q9WTK8	P15539
Q91WC9	Q99KC8
Q9ERK0	Q64337
Q9JJ78	Q91UZ5
A2AN08	Q9D269
Q3U7U3	Q9WUP7
Q5S006	Q9EQM6
Q9Z0L2	Q8R4G0
Q8BM92	Q8BUM3
F6UCX4	O89100
Q8K0C9	Q8BG95
A6PWE0	Q61532
Q60696	P22366
Q91XU0	Q922D8
Q99PI8	A0A1D5RMF0
O55203	P09022
Q08943	Q9EPQ8
Q91VE0	Q01063
Q80TL0	Q3TUF7
P0C605	Q8VII8
Q8R1C3	Q61168
P32883	P35330
Q9JL18	Q9QUR6
Q9Z1J2	Q99PT9
Q91XQ6	Q8K1C7
P70403	Q04887
V9GXQ3	Q9DBI2
Q8BGS7	Q6ZPY5
Q8VDS8	Q8BL66
P63101	P58682
Q6IMB2	Q5SVR0
P32443	Q6PD28
Q04211	Q8BUL5
O35437	Q8K3Q3
P21274	P0C0S6
A6H690	Q6P5B0
Q8VE11	Q8K337
Q3V3Z3	Q52KR2
Q9QZB9	Q61879
Q68FE8	Q80T14
Q62147	Q9WVH9
Q8R0X2	Q8R2R5
Q91XL2	Q6WVG3
P68181	Q9CQ26
Q9Z1A1	Q08775
Q9CR89	Q9WUF3
Q8BVW0	P63239
Q69ZT1	Q640N2
Q8BRX9	P62835
Q8VCY6	Q8CES0
Q8BGG0	Q9EST5
Q05AC5	Q8K469
Q99JP6	P20782
P13597	Q920G3
E9PZF0	G3UWD7
Q9D2G2	O09131
P06683	Q8VDU3
Q6P8W9	P29319
Q3UHK1	P28843
Q8VCQ8	A2AQP0
Q06806	Q91VA3
Q3TJ91	Q03526
Q80TE0	Q5M8M9
Q8BHB9	O09127
O08804	O54707
Q9DA08	P58465
Q9DBP0	Q91XU0
Q04857	A6H630
Q9EQC0	O35954
Q61483	Q8BG48
Q8BYG0	E9Q264
Q68FL6	Q66JT0
Q9Z2Q6	Q9CR23
Q9CZX8	Q6P5F9
A2AQ07	Q9QZD8
Q68FD5	O88587
P41230	Q99MD8
Q9R0M8	Q9JII5
